Model Size,Vanilla Fwd (ms),Compiled Fwd (ms),Speedup Fwd,Vanilla Train (ms),Compiled Train (ms),Speedup Train
small,6.71,12.35,0.54x,26.65,19.32,1.38x
medium,15.12,11.58,1.31x,97.03,90.13,1.08x
